external_id,name,description,unit,compdev,location5,pointtype,convers,descriptor,digitalset,zero,filtercode,compdevpercent,compressing,tag,srcptid,displaydigits,recno,excdev,userreal2,userreal1,totalcode,ptclassname,typicalvalue,pointid,pointsource,location1,location2,location3,location4,shutdown,compmin,ptclassrev,scan,userint2,userint1,excdevpercent,archiving,instrumenttag,compmax,ptclassid,squareroot,sourcetag,excmin,exdesc,future,excmax,step,engunits,span
pi:160250,VAL_23-KA-9101-M01_OC_instantaneous_residual_NEF1inst:VALUE,PH (SwitchGear) MV-COMP.M. FEEDER/ 51-3  Non Directional Earth Fault (trip Io>>>),,0,2,Digital,1,PH (SwitchGear) MV-COMP.M. FEEDER/ 51-3  Non Directional Earth Fault (trip Io>>>),Valhall_True_False,147,0,0,0,VAL_23-KA-9101-M01_OC_instantaneous_residual_NEF1inst:VALUE,0,-5,144750,0,0,0,0,classic,0,160250,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-KA-9101-M01_OC_instantaneous_residual_NEF1inst:VALUE,3600,2,0,,0,,0,0,1,,1
pi:160207,VAL_23-GK-9107B-M01:Z.Y.Value,PH 1stStg Comp Encl Cooling UnitB,,0,2,Digital,1,PH 1stStg Comp Encl Cooling UnitB,Valhall_True_False,147,0,0,0,VAL_23-GK-9107B-M01:Z.Y.Value,0,-5,144707,0,0,0,0,classic,0,160207,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-GK-9107B-M01:Z.Y.Value,3600,2,0,,0,,0,0,1,,1
pi:160232,VAL_23-KA-9101-M01_CB_Mechanical_Fault:VALUE,PH (SwitchGear) MV-COMP.M. FEEDER/ CB Mechanical Fault,,0,2,Digital,1,PH (SwitchGear) MV-COMP.M. FEEDER/ CB Mechanical Fault,Valhall_True_False,147,0,0,0,VAL_23-KA-9101-M01_CB_Mechanical_Fault:VALUE,0,-5,144732,0,0,0,0,classic,0,160232,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-KA-9101-M01_CB_Mechanical_Fault:VALUE,3600,2,0,,0,,0,0,1,,1
pi:160037,VAL_23_FIC_92543_08:Z.X.Value,PH 1stStgComp AntSrg Limit 2 PV,,0,2,Float32,1,PH 1stStgComp AntSrg Limit 2 PV,,0,0,0,0,VAL_23_FIC_92543_08:Z.X.Value,0,-5,144537,0,0,0,0,classic,50,160037,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23_FIC_92543_08:Z.X.Value,3600,2,0,,0,,0,0,0,,100
pi:160249,VAL_23-KA-9101-M01_OC_instantaneous_NOC3inst:VALUE,PH (SwitchGear) MV-COMP.M. FEEDER/ 50/51B-protection (trip 3I>>>),,0,2,Digital,1,PH (SwitchGear) MV-COMP.M. FEEDER/ 50/51B-protection (trip 3I>>>),Valhall_True_False,147,0,0,0,VAL_23-KA-9101-M01_OC_instantaneous_NOC3inst:VALUE,0,-5,144749,0,0,0,0,classic,0,160249,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-KA-9101-M01_OC_instantaneous_NOC3inst:VALUE,3600,2,0,,0,,0,0,1,,1
pi:161002,VAL_23-XA-96108-A:Z.X.Value,PH 1stStg KEYPH Comp Shaft,,0,0,Float32,1,PH 1stStg KEYPH Comp Shaft,,0,0,0,0,VAL_23-XA-96108-A:Z.X.Value,0,-5,145502,0,0,0,0,classic,50,161002,LAB-WAS-VAL,1,0,1,1,0,0,1,0,0,0,0,1,23-XA-96108-A:Z.X.Value,28800,2,0,,0,,0,600,0,,100
pi:160233,VAL_23-KA-9101-M01_CB_multiple_plug_out:VALUE,PH (SwitchGear) MV-COMP.M. FEEDER/ CB multiple plug out,,0,2,Digital,1,PH (SwitchGear) MV-COMP.M. FEEDER/ CB multiple plug out,Valhall_True_False,147,0,0,0,VAL_23-KA-9101-M01_CB_multiple_plug_out:VALUE,0,-5,144733,0,0,0,0,classic,0,160233,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-KA-9101-M01_CB_multiple_plug_out:VALUE,3600,2,0,,0,,0,0,1,,1
pi:160039,VAL_23_FIC_92543_11:Z.X.Value,PH Surge Counter,,0,2,Float32,1,PH Surge Counter,,0,0,0,0,VAL_23_FIC_92543_11:Z.X.Value,0,-5,144539,0,0,0,0,classic,50,160039,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23_FIC_92543_11:Z.X.Value,3600,2,0,,0,,0,0,0,,100
pi:160733,VAL_23-PT-96186-03:X.Value,PH 1st Stg Lube Lube Oil Header,,0,2,Float32,1,PH 1st Stg Lube Lube Oil Header,,0,0,0,0,VAL_23-PT-96186-03:X.Value,0,-5,145233,0,0,0,0,classic,50,160733,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-PT-96186-03:X.Value,3600,2,0,,0,,0,0,0,,100
pi:160205,VAL_23-GK-9107A-M01:Z.Y.Value,PH 1stStg Comp Encl Cooling UnitA,,0,2,Digital,1,PH 1stStg Comp Encl Cooling UnitA,Valhall_True_False,147,0,0,0,VAL_23-GK-9107A-M01:Z.Y.Value,0,-5,144705,0,0,0,0,classic,0,160205,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-GK-9107A-M01:Z.Y.Value,3600,2,0,,0,,0,0,1,,1
pi:160246,VAL_23-KA-9101-M01_Number_of_CB_Operations:VALUE,PH (SwitchGear) MV-COMP.M. FEEDER/ Number of CB Operations,,0,2,Float32,1,PH (SwitchGear) MV-COMP.M. FEEDER/ Number of CB Operations,,0,0,0,0,VAL_23-KA-9101-M01_Number_of_CB_Operations:VALUE,0,-5,144746,0,0,0,0,classic,50,160246,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-KA-9101-M01_Number_of_CB_Operations:VALUE,3600,2,0,,0,,0,0,0,,100
pi:160240,VAL_23-KA-9101-M01_Interlock_active:VALUE,PH (SwitchGear),,0,2,Digital,1,PH (SwitchGear),Valhall_True_False,147,0,0,0,VAL_23-KA-9101-M01_Interlock_active:VALUE,0,-5,144740,0,0,0,0,classic,0,160240,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-KA-9101-M01_Interlock_active:VALUE,3600,2,0,,0,,0,0,1,,1
pi:160230,VAL_23-KA-9101-M01:Z.Y.Value,PH 1stStg Comp Driving Mtr,,0,2,Digital,1,PH 1stStg Comp Driving Mtr,Valhall_True_False,147,0,0,0,VAL_23-KA-9101-M01:Z.Y.Value,0,-5,144730,0,0,0,0,classic,0,160230,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-KA-9101-M01:Z.Y.Value,3600,2,0,,0,,0,0,1,,1
pi:160564,VAL_23-LY-92529_Setpoints_SP_gasHi:VALUE,PH (Profiler) Gas deadband high setpoint,Kg/m3,0,2,Float32,1,PH (Profiler) Gas deadband high setpoint,,0,0,0,0,VAL_23-LY-92529_Setpoints_SP_gasHi:VALUE,0,-5,145064,0,0,0,0,classic,50,160564,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-LY-92529_Setpoints_SP_gasHi:VALUE,3600,2,0,,0,,0,0,0,Kg/m3,100
pi:160562,VAL_23-LY-92529_Setpoints_SP_emulsionHi:VALUE,PH (Profiler) Emulsion deadband high setpoint,Kg/m3,0,2,Float32,1,PH (Profiler) Emulsion deadband high setpoint,,0,0,0,0,VAL_23-LY-92529_Setpoints_SP_emulsionHi:VALUE,0,-5,145062,0,0,0,0,classic,50,160562,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-LY-92529_Setpoints_SP_emulsionHi:VALUE,3600,2,0,,0,,0,0,0,Kg/m3,100
pi:160245,VAL_23-KA-9101-M01_Motor_Winding_Temp_Warning:VALUE,PH (SwitchGear) MV-COMP.M. FEEDER/ motor winding warning,,0,2,Digital,1,PH (SwitchGear) MV-COMP.M. FEEDER/ motor winding warning,Valhall_True_False,147,0,0,0,VAL_23-KA-9101-M01_Motor_Winding_Temp_Warning:VALUE,0,-5,144745,0,0,0,0,classic,0,160245,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-KA-9101-M01_Motor_Winding_Temp_Warning:VALUE,3600,2,0,,0,,0,0,1,,1
pi:160784,VAL_23-TIC-92604:Control Module:BX,PH 1stStgDiscCool Gas Out External,-,0,0,Digital,1,PH 1stStgDiscCool Gas Out External,Valhall_True_False,147,0,0,0,VAL_23-TIC-92604:Control Module:BX,0,-5,145284,0,0,0,0,classic,0,160784,LAB-WAS-VAL800,1,2,1,1,0,0,1,0,0,0,0,1,23-TIC-92604:Control Module:BX,1200,2,0,,0,,0,600,1,-,1
pi:160071,VAL_23_PIC_92538_01:Z.X.Value,PH 1stStgComp STV Perf OP,,0,2,Float32,1,PH 1stStgComp STV Perf OP,,0,0,0,0,VAL_23_PIC_92538_01:Z.X.Value,0,-5,144571,0,0,0,0,classic,50,160071,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23_PIC_92538_01:Z.X.Value,3600,2,0,,0,,0,0,0,,100
pi:160788,VAL_23-TIC-92604:Control Module:YR,PH 1stStgDiscCool Gas Out Working Setpoint,degC,0,0,Float32,1,PH 1stStgDiscCool Gas Out Working Setpoint,,0,0,0,0,VAL_23-TIC-92604:Control Module:YR,0,-5,145288,0,0,0,0,classic,50,160788,LAB-WAS-VAL800,1,0,1,1,0,0,1,0,0,0,0,1,23-TIC-92604:Control Module:YR,1200,2,0,,0,,0,600,0,degC,100
pi:160251,VAL_23-KA-9101-M01_OC_low stage_negative_seq_NPSlow:VALUE,PH (SwitchGear),,0,0,Digital,1,PH (SwitchGear),Valhall_True_False,147,0,0,0,VAL_23-KA-9101-M01_OC_low stage_negative_seq_NPSlow:VALUE,0,-5,144751,0,0,0,0,classic,0,160251,LAB-WAS-VAL3P,1,2,1,1,0,0,1,0,0,0,0,1,23-KA-9101-M01_OC_low stage_negative_seq_NPSlow:VALUE,28800,2,0,,0,,0,600,1,,1
pi:160575,VAL_23-LY-92529_SILch0_SC0_WATCHDOG:VALUE,PH (Profiler) Shutdown Channel 0 - Watchdog,,0,2,Float32,1,PH (Profiler) Shutdown Channel 0 - Watchdog,,0,0,0,0,VAL_23-LY-92529_SILch0_SC0_WATCHDOG:VALUE,0,-5,145075,0,0,0,0,classic,50,160575,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-LY-92529_SILch0_SC0_WATCHDOG:VALUE,3600,2,0,,0,,0,0,0,,100
pi:160184,VAL_23-FT-92537-01:X.Value,PH 1stStgComp Discharge,kg/h,0,2,Float32,1,PH 1stStgComp Discharge,,0,0,0,0,VAL_23-FT-92537-01:X.Value,0,-5,144684,0,0,0,0,classic,50,160184,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-FT-92537-01:X.Value,3600,2,0,,0,,0,0,0,kg/h,100
pi:161022,VAL_23-YA-96119-01:Z.X.Value,PH 1stStg Gear2 Journ BRG NDE,,0,0,Float32,1,PH 1stStg Gear2 Journ BRG NDE,,0,0,0,0,VAL_23-YA-96119-01:Z.X.Value,0,-5,145522,0,0,0,0,classic,50,161022,LAB-WAS-VAL,1,0,1,1,0,0,1,0,0,0,0,1,23-YA-96119-01:Z.X.Value,28800,2,0,,0,,0,600,0,,100
pi:161020,VAL_23-YA-96118-01:Z.X.Value,PH 1stStg Gear1 Journ BRG NDE,,0,0,Float32,1,PH 1stStg Gear1 Journ BRG NDE,,0,0,0,0,VAL_23-YA-96118-01:Z.X.Value,0,-5,145520,0,0,0,0,classic,50,161020,LAB-WAS-VAL,1,0,1,1,0,0,1,0,0,0,0,1,23-YA-96118-01:Z.X.Value,28800,2,0,,0,,0,600,0,,100
pi:160255,VAL_23-KA-9101-M01_REM543_in_test_mode:VALUE,PH (SwitchGear) MV-COMP.M. FEEDER/ REM543 in test mode,,0,2,Digital,1,PH (SwitchGear) MV-COMP.M. FEEDER/ REM543 in test mode,Valhall_True_False,147,0,0,0,VAL_23-KA-9101-M01_REM543_in_test_mode:VALUE,0,-5,144755,0,0,0,0,classic,0,160255,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-KA-9101-M01_REM543_in_test_mode:VALUE,3600,2,0,,0,,0,0,1,,1
pi:160726,VAL_23-PT-96157:Z.X1.Value,PH 1st Stg Outer Seal NDE,,0,2,Float32,1,PH 1st Stg Outer Seal NDE,,0,0,0,0,VAL_23-PT-96157:Z.X1.Value,0,-5,145226,0,0,0,0,classic,50,160726,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-PT-96157:Z.X1.Value,3600,2,0,,0,,0,0,0,,100
pi:160585,VAL_23-NY-96144-10:VALUE,PH (CBM) Phase A Positive Qmax,mV,0,2,Float32,1,PH (CBM) Phase A Positive Qmax,,0,0,0,0,VAL_23-NY-96144-10:VALUE,0,-5,145085,0,0,0,0,classic,50,160585,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-NY-96144-10:VALUE,3600,2,0,,0,,0,0,0,mV,100
pi:160907,VAL_23-TT-96102-03:Z.X.Value,PH 1stStg Comp Journ BRG NDE,,0,0,Float32,1,PH 1stStg Comp Journ BRG NDE,,0,0,0,0,VAL_23-TT-96102-03:Z.X.Value,0,-5,145407,0,0,0,0,classic,50,160907,LAB-WAS-VAL,1,0,1,1,0,0,1,0,0,0,0,1,23-TT-96102-03:Z.X.Value,28800,2,0,,0,,0,600,0,,100
pi:160267,VAL_23-KA-9101-M01-62B:X.Value,PH HV SWGR 1stStg Comp Mtr,MW,0,2,Float32,1,PH HV SWGR 1stStg Comp Mtr,,0,0,0,0,VAL_23-KA-9101-M01-62B:X.Value,0,-5,144767,0,0,0,0,classic,50,160267,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-KA-9101-M01-62B:X.Value,3600,2,0,,0,,0,0,0,MW,100
pi:160206,VAL_23-GK-9107A-M01-EL:XS.MeasuredValues.CurrentL2.Value.Value,PH 1stStg Comp Encl Cooling UnitA,,0,2,Float32,1,PH 1stStg Comp Encl Cooling UnitA,,0,0,0,0,VAL_23-GK-9107A-M01-EL:XS.MeasuredValues.CurrentL2.Value.Value,0,-5,144706,0,0,0,0,classic,50,160206,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-GK-9107A-M01-EL:XS.MeasuredValues.CurrentL2.Value.Value,3600,2,0,,0,,0,0,0,,100
pi:160219,VAL_23-KA-9101_APR:VALUE,PH (CBM) 1st Stage ActPress Ratio,ratio,0,2,Float32,1,PH (CBM) 1st Stage ActPress Ratio,,0,0,0,0,VAL_23-KA-9101_APR:VALUE,0,-5,144719,0,0,0,0,classic,50,160219,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-KA-9101_APR:VALUE,3600,2,0,,0,,0,0,0,ratio,100
pi:160700,VAL_23-PT-92532:X.Value,PH 1stStgComp Suction,bar,0,2,Float32,1,PH 1stStgComp Suction,,0,0,0,0,VAL_23-PT-92532:X.Value,0,-5,145200,0,0,0,0,classic,50,160700,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-PT-92532:X.Value,3600,2,0,,0,,0,0,0,bar,100
pi:161018,VAL_23-YA-96117-01:Z.X.Value,PH 1stStg Gear1 Journ BRG DE,,0,0,Float32,1,PH 1stStg Gear1 Journ BRG DE,,0,0,0,0,VAL_23-YA-96117-01:Z.X.Value,0,-5,145518,0,0,0,0,classic,50,161018,LAB-WAS-VAL,1,0,1,1,0,0,1,0,0,0,0,1,23-YA-96117-01:Z.X.Value,28800,2,0,,0,,0,600,0,,100
pi:160104,VAL_23_PT_92531:Z.X.Value,PH 1stStgComp Suction,,0,2,Float32,1,PH 1stStgComp Suction,,0,0,0,0,VAL_23_PT_92531:Z.X.Value,0,-5,144604,0,0,0,0,classic,50,160104,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23_PT_92531:Z.X.Value,3600,2,0,,0,,0,0,0,,100
pi:160522,VAL_23-LT-92529-03:X.Value,PH 1stStgScrub I-face TopFoam,,0,2,Float32,1,PH 1stStgScrub I-face TopFoam,,0,0,0,0,VAL_23-LT-92529-03:X.Value,0,-5,145022,0,0,0,0,classic,50,160522,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-LT-92529-03:X.Value,3600,2,0,,0,,0,0,0,,100
pi:160720,VAL_23-PT-96149:Z.X1.Value,PH 1st Stage Comp Inner Seal DE,,0,2,Float32,1,PH 1st Stage Comp Inner Seal DE,,0,0,0,0,VAL_23-PT-96149:Z.X1.Value,0,-5,145220,0,0,0,0,classic,50,160720,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-PT-96149:Z.X1.Value,3600,2,0,,0,,0,0,0,,100
pi:160034,VAL_23_FIC_92543_05:Z.X.Value,PH 1stStgComp First AntSrg CountTot,,0,2,Float32,1,PH 1stStgComp First AntSrg CountTot,,0,0,0,0,VAL_23_FIC_92543_05:Z.X.Value,0,-5,144534,0,0,0,0,classic,50,160034,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23_FIC_92543_05:Z.X.Value,3600,2,0,,0,,0,0,0,,100
pi:160572,VAL_23-LY-92529_SILch0_SC0_TY1SP:VALUE,PH (Profiler) Shutdown Channel 0 - Tube y1 Setpoint,,0,2,Float32,1,PH (Profiler) Shutdown Channel 0 - Tube y1 Setpoint,,0,0,0,0,VAL_23-LY-92529_SILch0_SC0_TY1SP:VALUE,0,-5,145072,0,0,0,0,classic,50,160572,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-LY-92529_SILch0_SC0_TY1SP:VALUE,3600,2,0,,0,,0,0,0,,100
pi:191092,VAL_23-TT-92604A:X.Value,PH 1stStgDiscCool Gas Out Output,degC,0,2,Float32,1,PH 1stStgDiscCool Gas Out Output,,0,0,0,0,VAL_23-TT-92604A:X.Value,0,-5,175484,0,0,0,0,classic,50,191092,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-TT-92604A:X.Value,3600,2,0,,0,,0,0,0,degC,100
pi:160649,VAL_23-PDT-96167:X.Value,PH 1stStg Comp Balance Piston,mbar,0,2,Float32,1,PH 1stStg Comp Balance Piston,,0,0,0,0,VAL_23-PDT-96167:X.Value,0,-5,145149,0,0,0,0,classic,50,160649,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-PDT-96167:X.Value,3600,2,0,,0,,0,0,0,mbar,100
pi:160235,VAL_23-KA-9101-M01_Current_L1:VALUE,PH (SwitchGear) MV-COMP.M. FEEDER/ Current (L1),A,0,2,Float32,1,PH (SwitchGear) MV-COMP.M. FEEDER/ Current (L1),,0,0,0,0,VAL_23-KA-9101-M01_Current_L1:VALUE,0,-5,144735,0,0,0,0,classic,50,160235,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-KA-9101-M01_Current_L1:VALUE,3600,2,0,,0,,0,0,0,A,100
pi:160910,VAL_23-TT-96104-01:Z.X.Value,PH 1stStg Comp Thrust BRG OUT,,0,0,Float32,1,PH 1stStg Comp Thrust BRG OUT,,0,0,0,0,VAL_23-TT-96104-01:Z.X.Value,0,-5,145410,0,0,0,0,classic,50,160910,LAB-WAS-VAL,1,0,1,1,0,0,1,0,0,0,0,1,23-TT-96104-01:Z.X.Value,28800,2,0,,0,,0,600,0,,100
pi:160650,VAL_23-PDT-96180:X.Value,PH 1st Stg Lube Oil Filter,,0,2,Float32,1,PH 1st Stg Lube Oil Filter,,0,0,0,0,VAL_23-PDT-96180:X.Value,0,-5,145150,0,0,0,0,classic,50,160650,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-PDT-96180:X.Value,3600,2,0,,0,,0,0,0,,100
pi:160915,VAL_23-TT-96112-03:Z.X.Value,PH 1stStg Comp 1 Journ BRG NDE,,0,0,Float32,1,PH 1stStg Comp 1 Journ BRG NDE,,0,0,0,0,VAL_23-TT-96112-03:Z.X.Value,0,-5,145415,0,0,0,0,classic,50,160915,LAB-WAS-VAL,1,0,1,1,0,0,1,0,0,0,0,1,23-TT-96112-03:Z.X.Value,28800,2,0,,0,,0,600,0,,100
pi:160494,VAL_23-LIC-92521:Control Module:PD,PH 1stStgSuctScrubber Level Derivate time,s,0,2,Float32,1,PH 1stStgSuctScrubber Level Derivate time,,0,0,0,0,VAL_23-LIC-92521:Control Module:PD,0,-5,144994,0,0,0,0,classic,50,160494,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-LIC-92521:Control Module:PD,3600,2,0,,0,,0,0,0,s,100
pi:160724,VAL_23-PT-96156:Z.X1.Value,PH 1st Stg Outer Seal DE,,0,2,Float32,1,PH 1st Stg Outer Seal DE,,0,0,0,0,VAL_23-PT-96156:Z.X1.Value,0,-5,145224,0,0,0,0,classic,50,160724,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-PT-96156:Z.X1.Value,3600,2,0,,0,,0,0,0,,100
